item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C04_20170707_045240_045300.rttm,100.00,0.00,60.00,,0.00,
C04_20170707_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_056040_056100.rttm,100.00,0.00,3.76,,0.00,
C09_20170708_002040_002100.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_027240_027300.rttm,100.00,0.00,1.00,,0.00,
C09_20170708_030840_030900.rttm,100.00,0.00,1.78,,0.00,
C09_20170708_034440_034500.rttm,100.00,0.00,52.75,,0.00,
C09_20170708_038040_038100.rttm,100.00,0.00,7.95,,0.00,
C09_20170708_041640_041700.rttm,100.00,0.00,17.91,,0.00,
C09_20170708_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C09_20170708_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_002040_002100.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_016440_016500.rttm,100.00,0.00,4.86,,0.00,
C10_20170709_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_023640_023700.rttm,100.00,0.00,0.82,,0.00,
C10_20170709_027240_027300.rttm,100.00,0.00,0.81,,0.00,
C10_20170709_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C10_20170709_041640_041700.rttm,100.00,0.00,55.50,,0.00,
C10_20170709_045240_045300.rttm,100.00,0.00,47.40,,0.00,
C10_20170709_048840_048900.rttm,100.00,0.00,60.00,,0.00,
C10_20170709_052440_052500.rttm,100.00,0.00,57.89,,0.00,
C10_20170709_056040_056100.rttm,100.00,0.00,2.29,,0.00,
C11_20170709_002040_002100.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_005640_005700.rttm,100.00,0.00,60.00,,0.00,
C11_20170709_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_012840_012900.rttm,100.00,0.00,1.34,,0.00,
C11_20170709_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_045240_045300.rttm,100.00,0.00,52.04,,0.00,
C11_20170709_048840_048900.rttm,100.00,0.00,60.00,,0.00,
C11_20170709_052440_052500.rttm,100.00,0.00,11.08,,0.00,
C11_20170709_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_002040_002100.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_005640_005700.rttm,100.00,0.00,27.10,,0.00,
