item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C12_20170709_005640_005700.rttm,170.27,2.22,1.56,70.27,2.22,100.00
C12_20170709_009240_009300.rttm,100.00,0.00,1.00,,0.00,
C12_20170709_012840_012900.rttm,83.14,10.14,0.84,8.28,7.59,74.85
C12_20170709_016440_016500.rttm,83.80,26.18,1.61,6.15,20.33,77.65
C12_20170709_020040_020100.rttm,100.00,4.14,0.00,0.00,4.14,100.00
C12_20170709_023640_023700.rttm,100.00,0.88,0.00,0.00,0.88,100.00
C12_20170709_027240_027300.rttm,100.00,0.00,1.61,,0.00,
C12_20170709_030840_030900.rttm,95.36,12.50,0.01,0.08,11.91,95.28
C12_20170709_034440_034500.rttm,81.76,7.95,1.59,20.00,4.91,61.76
C12_20170709_038040_038100.rttm,97.89,11.84,5.82,49.16,5.77,48.73
C12_20170709_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_002040_002100.rttm,113.80,12.83,4.46,34.76,10.14,79.03
C15_20170710_005640_005700.rttm,397.96,2.45,7.86,320.82,1.89,77.14
C15_20170710_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_002040_002100.rttm,110.15,15.47,8.22,53.14,8.82,57.01
C16_20170710_005640_005700.rttm,100.00,0.00,1.11,,0.00,
C16_20170710_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_016440_016500.rttm,100.00,0.00,0.64,,0.00,
C16_20170710_020040_020100.rttm,157.36,3.94,2.26,57.36,3.94,100.00
C16_20170710_023640_023700.rttm,60.60,7.36,0.17,2.31,4.29,58.29
C16_20170710_027240_027300.rttm,100.00,0.00,3.09,,0.00,
C16_20170710_030840_030900.rttm,100.00,0.00,4.01,,0.00,
C18_20170711_002040_002100.rttm,103.18,10.07,3.15,31.28,7.24,71.90
C18_20170711_005640_005700.rttm,59.31,12.51,0.05,0.40,7.37,58.91
C18_20170711_009240_009300.rttm,29.88,3.38,0.74,21.89,0.27,7.99
C18_20170711_012840_012900.rttm,84.88,11.24,4.41,39.23,5.13,45.64
C18_20170711_016440_016500.rttm,80.23,13.20,4.69,35.53,5.90,44.70
C18_20170711_020040_020100.rttm,326.60,1.88,5.66,301.06,0.48,25.53
C18_20170711_023640_023700.rttm,82.32,12.05,3.10,25.73,6.82,56.60
C18_20170711_027240_027300.rttm,100.00,3.26,0.00,0.00,3.26,100.00
C18_20170711_030840_030900.rttm,87.02,7.24,0.04,0.55,6.26,86.46
C18_20170711_034440_034500.rttm,186.07,1.22,1.05,86.07,1.22,100.00
C18_20170711_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_052440_052500.rttm,0.00,0.00,0.00,,0.00,
