item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C24_20170712_52440.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_56040.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_5640.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_9240.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_12840.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_16440.rttm,283.69,1.64,3.02,183.69,1.64,100.00
C24_20170719_20040.rttm,467.73,4.54,18.80,414.13,2.43,53.61
C24_20170719_2040.rttm,60.31,14.94,2.82,18.90,6.19,41.41
C24_20170719_23640.rttm,115.03,4.36,1.19,27.26,3.82,87.77
C24_20170719_27240.rttm,100.00,2.09,0.00,0.00,2.09,100.00
C24_20170719_30840.rttm,100.00,0.00,1.00,,0.00,
C24_20170719_34440.rttm,70.31,15.33,1.26,8.21,9.52,62.10
C24_20170719_38040.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_41640.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_45240.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_48840.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_52440.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_56040.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_5640.rttm,59.96,2.73,0.46,16.80,1.18,43.15
C24_20170719_9240.rttm,100.00,0.00,0.48,,0.00,
C25_20170719_12840.rttm,65.54,25.19,0.97,3.85,15.54,61.69
C25_20170719_16440.rttm,100.00,0.00,1.25,,0.00,
C25_20170719_20040.rttm,289.08,2.92,6.60,226.26,1.83,62.82
C25_20170719_2040.rttm,94.31,9.08,3.41,37.59,5.15,56.72
C25_20170719_23640.rttm,244.63,3.56,6.59,184.98,2.13,59.65
C25_20170719_27240.rttm,100.00,4.35,0.00,0.00,4.35,100.00
C25_20170719_30840.rttm,91.40,10.56,7.35,69.60,2.30,21.80
C25_20170719_34440.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_38040.rttm,100.00,0.00,1.02,,0.00,
C25_20170719_41640.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_45240.rttm,100.00,0.00,1.62,,0.00,
C25_20170719_48840.rttm,208.19,1.52,1.64,108.19,1.52,100.00
C25_20170719_52440.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_56040.rttm,147.07,1.53,0.72,47.07,1.53,100.00
C25_20170719_5640.rttm,100.00,0.00,1.01,,0.00,
C25_20170719_9240.rttm,68.03,4.49,1.02,22.69,2.03,45.34
ROW_1156_001980_002100.rttm,0.00,0.00,0.00,,0.00,
ROW_1156_010140_010260.rttm,49.84,23.06,4.43,19.22,7.06,30.62
