"filename" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"6035_13920_14040" 12 0.46 0.23 1 0.15 0.075 1 3
"6035_26940_27060" 12 3.93 0.9825 3 0.61 0.1525 1 3
"6035_27780_27900" 12 4.18 0.5225 7 1.25 0.15625 1 13
"6035_30300_30420" 12 12.58 0.662105263157895 18 0.61 0.0321052631578947 1 13
"6035_30840_30960" 12 2.4 0.6 4 0 0 0 2
"7758_ 3780_ 3900" 17 6.49 0.432666666666667 9 6.99 0.466 6 3
"7758_ 4740_ 4860" 17 0 0 0 0.65 0.65 1 1
"7758_10440_10560" 17 0.6 0.6 1 0 0 0 0
"7758_10740_10860" 17 1.53 0.51 3 0 0 0 1
"7758_12180_12300" 17 1.56 0.78 1 0.97 0.485 1 1
"7758_19140_19260" 17 1.28 0.64 1 0.63 0.315 1 5
"7758_29940_30060" 17 4.55 0.56875 8 0 0 0 2
"7758_38460_38580" 17 7.84 0.49 11 4.95 0.309375 5 3
"7798_ 9660_ 9780" 11 2.51 0.502 4 0.73 0.146 1 1
"7798_17880_18000" 11 5.77 0.524545454545455 7 2.91 0.264545454545455 4 12
"7798_19560_19680" 11 4.95 0.215217391304348 6 13.42 0.583478260869565 17 16
"7798_30780_30900" 11 14.39 0.5756 15 17.49 0.6996 10 20
"7798_33240_33360" 11 2.03 0.203 3 4.81 0.481 7 17
"7798_40380_40500" 11 0 0 0 0.84 0.28 3 1
"7798_44580_44700" 11 16.07 0.669583333333333 17 7.52 0.313333333333333 7 16
"7798_50580_50700" 11 1.34 0.446666666666667 1 1.17 0.39 2 3
"8357_ 2820_ 2940" 12 4.18 0.597142857142857 7 0 0 0 3
"8357_ 6900_ 7020" 12 0.85 0.141666666666667 2 3.86 0.643333333333333 4 1
"8357_ 7620_ 7740" 12 2.17 0.241111111111111 5 2.29 0.254444444444444 4 0
"8357_12660_12780" 12 3.23 0.323 6 5 0.5 4 11
"8357_19560_19680" 12 3.9 0.39 6 2.15 0.215 4 5
"8357_20220_20340" 12 7.7 0.513333333333333 9 4.31 0.287333333333333 6 2
"8357_21540_21660" 12 16.09 0.731363636363636 20 0.61 0.0277272727272727 2 1
"8357_27960_28080" 12 2.76 0.276 6 1.83 0.183 4 3
"8357_30300_30420" 12 3.81 0.762 4 1.27 0.254 1 0
"8357_41400_41520" 12 8.81 0.550625 8 7.84 0.49 8 9
"8445_ 6660_ 6780" 8 0 0 0 0.16 0.16 1 0
"8445_11700_11820" 8 0.84 0.28 1 1.57 0.523333333333333 2 1
"8445_12900_13020" 8 9.35 0.667857142857143 11 1.67 0.119285714285714 3 9
"8445_17580_17700" 8 5.74 0.7175 3 10.15 1.26875 5 4
"8445_19980_20100" 8 3.06 0.235384615384615 4 10.42 0.801538461538462 9 2
"8445_27600_27720" 8 1.19 0.198333333333333 1 3.69 0.615 5 1
"8445_29040_29160" 8 2.87 0.478333333333333 5 1.21 0.201666666666667 1 3
"8445_38220_38340" 8 3.21 0.8025 3 0.71 0.1775 1 0
"8445_39000_39120" 8 1.27 0.423333333333333 2 0.73 0.243333333333333 1 2
"8445_44340_44460" 8 7.55 0.838888888888889 9 0 0 0 9
"8445_48120_48240" 8 5.3 0.6625 8 0 0 0 2
"8445_49380_49500" 8 1.5 0.25 3 3.1 0.516666666666667 3 2
"8924_ 2400_ 2520" 11 2.91 0.582 3 1.55 0.31 2 0
"8924_ 6360_ 6480" 11 23.83 0.821724137931034 18 13.6 0.468965517241379 11 10
"8924_ 7140_ 7260" 11 9.97 0.766923076923077 10 2.38 0.183076923076923 3 14
"8924_17340_17460" 11 0.83 0.83 1 0 0 0 1
"8924_18240_18360" 11 5.03 0.838333333333333 4 1.43 0.238333333333333 2 4
"8924_18720_18840" 11 2.31 0.5775 4 0 0 0 0
"8924_19500_19620" 11 13.36 0.556666666666667 17 4.65 0.19375 7 6
"8924_23400_23520" 11 0.89 0.2225 2 0.98 0.245 2 0
"8924_24480_24600" 11 4.92 0.3075 6 7.83 0.489375 10 5
"8924_28020_28140" 11 6.41 0.80125 7 0.76 0.095 1 13
"9398_ 3180_ 3300" 6 3.13 0.521666666666667 6 0 0 0 3
"9398_ 5100_ 5220" 6 23.35 0.778333333333333 22 7.28 0.242666666666667 7 1
"9398_ 6000_ 6120" 6 1.2 0.6 2 0 0 0 4
"9398_ 7680_ 7800" 6 26.82 1.49 18 0 0 0 14
"9398_ 9300_ 9420" 6 18.3 0.571875 12 56.76 1.77375 20 0
"9398_18660_18780" 6 1.41 0.47 2 0.8 0.266666666666667 1 7
"9398_19500_19620" 6 5.91 0.656666666666667 6 3.95 0.438888888888889 3 0
"9398_22920_23040" 6 0 0 0 0.57 0.285 2 0
"9398_26700_26820" 6 7.24 1.448 5 0 0 0 1
"9398_27600_27720" 6 2.89 0.7225 4 0 0 0 1
"9398_33780_33900" 6 49.72 1.50666666666667 26 13.95 0.422727272727273 6 5
"9398_34140_34260" 6 13.05 0.501923076923077 9 61.09 2.34961538461538 15 6
"9408_19380_19500" 27 0.52 0.52 1 0 0 0 0
"9408_33360_33480" 27 8.29 0.637692307692308 9 2.9 0.223076923076923 4 3
"9427_ 4380_ 4500" 9 5.41 0.772857142857143 6 0.8 0.114285714285714 1 5
"9427_17880_18000" 9 3.64 0.91 4 0 0 0 0
"9427_18240_18360" 9 3.11 1.03666666666667 3 0 0 0 3
"9427_21000_21120" 9 0.2 0.1 1 0.52 0.26 1 1
"9427_22800_22920" 9 5.85 0.73125 7 0.6 0.075 1 13
"9427_33300_33420" 9 4.16 0.832 5 0 0 0 1
"9427_45960_46080" 9 0.6 0.2 1 1.3 0.433333333333333 2 0
"9427_56040_56160" 9 7.51 0.469375 9 8.13 0.508125 7 2
"9427_56760_56880" 9 0.61 0.305 1 0.63 0.315 1 0
"9492_ 3780_ 3900" 15 4.37 0.437 7 1.4 0.14 3 4
"9492_ 4560_ 4680" 15 1.9 0.633333333333333 2 0.52 0.173333333333333 1 0
"9492_ 6180_ 6300" 15 1.5 0.5 2 0.98 0.326666666666667 1 1
"9492_11100_11220" 15 8.14 0.904444444444444 7 2.07 0.23 2 5
"9492_11340_11460" 15 3.32 0.474285714285714 4 13.23 1.89 3 4
"9492_26220_26340" 15 0 0 0 1.84 0.613333333333333 3 0
"9492_27960_28080" 15 8.09 0.505625 8 7.91 0.494375 8 2
"9492_37200_37320" 15 0 0 0 0.68 0.68 1 0
"9492_48180_48300" 15 0.28 0.0933333333333333 1 3.55 1.18333333333333 2 0
"9527_ 1980_ 2100" 12 7.4 0.616666666666667 9 2.31 0.1925 3 8
"9527_ 3660_ 3780" 12 0.26 0.065 1 2.65 0.6625 3 3
"9527_ 7920_ 8040" 12 0.91 0.303333333333333 2 0.46 0.153333333333333 1 2
"9527_ 8340_ 8460" 12 4.16 0.693333333333333 3 1.64 0.273333333333333 3 3
"9527_20460_20580" 12 4.94 0.6175 7 0.48 0.06 1 8
"9527_25620_25740" 12 3.11 0.622 5 0 0 0 2
"9527_27240_27360" 12 2.23 0.318571428571429 5 1.21 0.172857142857143 2 2
"9527_32760_32880" 12 0.67 0.134 1 3.18 0.636 4 0
"9527_42300_42420" 12 1.05 0.175 2 2.96 0.493333333333333 4 4
"9755_10980_11100" 3 9.18 1.02 9 0 0 0 14
"9755_13140_13260" 3 0.77 0.0641666666666667 2 11.27 0.939166666666667 10 2
"9755_19020_19140" 3 1.44 0.72 2 0 0 0 0
"9755_29400_29520" 3 0.61 0.61 1 0 0 0 0
"9755_31080_31200" 3 2.22 0.74 3 0 0 0 2
